track_id,split,subset
2,training,small
5,training,small
10,training,small
140,training,small
141,training,small
148,validation,small
182,test,small
190,training,small
193,training,small
194,training,small
197,training,small
200,training,small
203,training,small
204,training,small
207,training,small
210,training,small
211,training,small
212,training,small
213,training,small
255,training,small
256,training,small
368,training,small
424,training,small
459,validation,small
534,training,small
540,training,small
546,training,small
574,training,small
602,validation,small
615,training,small
620,training,small
621,training,small
625,training,small
666,training,small
667,training,small
676,training,small
690,validation,small
694,training,small
695,training,small
704,test,small
705,test,small
706,test,small
707,test,small
708,test,small
709,test,small
714,training,small
715,training,small
716,training,small
718,training,small
777,training,small
814,training,small
821,training,small
822,training,small
825,training,small
853,training,small
890,test,small
892,test,small
897,training,small
993,validation,small
995,training,small
997,training,small
998,training,small
1039,training,small
1040,training,small
1066,test,small
1069,test,small
1073,test,small
1075,test,small
1082,training,small
1083,training,small
1087,validation,small
1102,training,small
1193,training,small
1195,training,small
1196,training,small
1197,training,small
1249,test,small
1259,test,small
1270,training,small
1276,training,small
1277,training,small
1278,training,small
1417,training,small
1427,training,small
1443,training,small
1482,training,small
1510,training,small
1544,training,small
1642,training,small
1644,training,small
1649,training,small
1661,training,small
1663,training,small
1666,training,small
1673,training,small
1680,training,small
1681,training,small
1682,training,small
1683,training,small
1684,training,small
1685,training,small
1686,training,small
1687,training,small
1688,training,small
1689,training,small
1701,training,small
1702,training,small
1703,training,small
1704,training,small
1706,training,small
1720,training,small
1732,training,small
1733,training,small
1735,training,small
1736,training,small
1883,training,small
1891,training,small
1893,validation,small
1924,training,small
1925,training,small
1929,training,small
1930,training,small
2012,validation,small
2096,training,small
2097,training,small
2099,training,small
3263,validation,small
3264,validation,small
3265,validation,small
3266,validation,small
3270,training,small
3271,training,small
3272,training,small
3273,training,small
3274,training,small
3492,training,small
3532,training,small
3533,training,small
3534,training,small
3535,training,small
3537,training,small
3538,training,small
3573,training,small
3598,training,small
3624,test,small
3707,training,small
3708,training,small
3720,training,small
3721,training,small
3722,training,small
3724,training,small
3725,training,small
3761,training,small
3762,training,small
3763,training,small
3765,training,small
3766,training,small
3775,training,small
3776,training,small
3777,training,small
3778,training,small
3779,training,small
3832,training,small
3833,training,small
3840,training,small
3880,training,small
3895,training,small
3896,training,small
3904,training,small
3905,training,small
3906,training,small
3908,training,small
3909,training,small
3910,training,small
3911,training,small
3912,training,small
3913,training,small
3920,training,small
3921,training,small
3950,training,small
4013,training,small
4017,training,small
4022,validation,small
4037,training,small
4066,training,small
4067,training,small
4068,training,small
4069,training,small
4070,training,small
4071,training,small
4072,training,small
4073,training,small
4074,training,small
4075,training,small
4076,training,small
4077,training,small
4078,training,small
4079,training,small
4080,training,small
4091,training,small
4092,training,small
4093,training,small
4094,training,small
4095,training,small
4096,training,small
4097,training,small
4098,training,small
4099,training,small
4100,training,small
4101,training,small
4102,training,small
4103,training,small
4108,test,small
4232,training,small
4233,training,small
4234,training,small
4235,training,small
4236,training,small
4239,training,small
4450,training,small
4507,training,small
4508,training,small
4509,training,small
4510,training,small
4511,training,small
4519,training,small
4520,training,small
4521,training,small
4522,training,small
4682,training,small
4684,training,small
4685,training,small
4688,training,small
4777,training,small
4778,training,small
4779,training,small
4780,training,small
4781,training,small
4782,training,small
4784,training,small
4785,training,small
4786,training,small
4787,training,small
4788,training,small
4799,training,small
4835,training,small
4836,training,small
4838,training,small
4846,training,small
4848,training,small
4849,training,small
5006,training,small
5156,training,small
5157,training,small
5158,training,small
5159,training,small
5169,training,small
5170,training,small
5171,training,small
5191,validation,small
5264,training,small
5268,training,small
5376,training,small
5381,training,small
5521,training,small
5879,training,small
5936,training,small
5940,training,small
6329,training,small
6330,training,small
6331,validation,small
6332,training,small
6333,validation,small
6342,training,small
6354,training,small
6357,training,small
6358,validation,small
6360,training,small
6363,validation,small
6366,training,small
6367,training,small
6368,validation,small
6370,training,small
6372,validation,small
6373,training,small
6376,validation,small
6379,training,small
6380,validation,small
6381,training,small
6382,training,small
6383,training,small
6385,validation,small
6387,training,small
6389,training,small
6390,validation,small
6393,training,small
6394,training,small
6396,training,small
6406,training,small
6407,training,small
6439,training,small
6440,training,small
6442,training,small
6443,training,small
6448,training,small
6459,training,small
6461,validation,small
6463,validation,small
6467,validation,small
6469,training,small
6517,training,small
6519,training,small
6603,training,small
6605,training,small
6606,training,small
6607,training,small
6608,training,small
6609,training,small
6610,training,small
6611,training,small
6674,training,small
6675,training,small
6677,training,small
6679,training,small
6680,training,small
6684,training,small
6762,validation,small
6776,training,small
6778,training,small
6779,validation,small
6782,validation,small
6783,validation,small
6788,training,small
6802,training,small
6803,training,small
6854,training,small
6855,training,small
6856,training,small
6857,training,small
7011,validation,small
7373,test,small
7374,test,small
7375,test,small
7376,test,small
7377,test,small
7378,test,small
7379,test,small
7381,test,small
7383,test,small
7385,test,small
7386,test,small
7388,test,small
7391,test,small
7393,test,small
7481,training,small
7482,training,small
7483,training,small
7487,training,small
7488,training,small
7489,training,small
7490,training,small
7491,training,small
7492,training,small
7495,training,small
7526,training,small
7527,training,small
7528,training,small
7529,training,small
7548,training,small
7554,training,small
7709,training,small
7710,training,small
7711,training,small
7712,training,small
7713,training,small
7872,training,small
8056,training,small
8208,training,small
8256,training,small
8259,training,small
8261,training,small
8345,training,small
8357,training,small
8363,training,small
8372,training,small
8416,training,small
9152,training,small
9155,test,small
9307,training,small
9476,training,small
9477,training,small
9491,training,small
9505,training,small
9511,training,small
9512,training,small
9513,training,small
9550,validation,small
9553,validation,small
9555,validation,small
9557,validation,small
9559,validation,small
9560,validation,small
9678,training,small
9721,training,small
9846,training,small
9887,training,small
9888,training,small
9918,training,small
9962,training,small
10186,training,small
10192,training,small
10250,test,small
10374,training,small
10375,training,small
10376,training,small
10377,training,small
10381,test,small
10382,test,small
10383,test,small
10384,test,small
10385,test,small
10386,test,small
10387,test,small
10388,test,small
10389,test,small
10435,training,small
10438,test,small
10439,test,small
10440,test,small
10441,test,small
10442,test,small
10443,test,small
10444,test,small
10447,test,small
10458,training,small
10480,test,small
10481,test,small
10485,test,small
10521,training,small
10527,training,small
10535,training,small
10541,training,small
10575,training,small
10577,training,small
10668,training,small
10669,training,small
10670,training,small
10671,training,small
10672,training,small
10673,training,small
10674,training,small
10675,training,small
10676,training,small
10677,training,small
10678,test,small
10679,test,small
10682,test,small
10684,test,small
10693,training,small
10694,training,small
10695,training,small
10696,training,small
10697,training,small
10698,training,small
10699,training,small
10805,training,small
10806,training,small
10807,training,small
10808,training,small
10809,training,small
10810,training,small
